Name,Ranking,usnews.com link,Tuition and Fees,Room and Board,Total Enrollment,School Type,Year Founded,Religiious Affiliation,Academic Calendar,Setting,2018 Endowment,Median starting salary of alumni,Acceptance_rate,student faculty ratio,Student_faculty_ratio,4-year graduation rate,Class sizes <20,Class sizes 20-49,Class sizes >50,Male,Female,,National Liberal Arts Colleges,Best Undergraduate Teaching,Best Value Schools,Most Innovative Schools,Top Performers on Social Mobility,First-Year Experiences,Learning Communities,Senior Capstone,Writing in the Disciplines,Study Abroad,Undergraduate Research/Creative Projects,,Average annual cost,Estimated cost of books and supplies,Estimated transportation cost,Estimated personal expenses,Average need based scholarship or grant award,Students who applied for need-based financial aid,Students determined to have financial need,Students whose need was fully met,Average need-based financial aid package (freshman),Students who received need-based financial aid,Average need-based scholarship or grant award (freshmen),Students who received need-based scholarship or grant aid (freshmen),Average need-based self-help aid award (freshmen),Students who received need-based self-help aid (freshmen),"Average need-based loan (excluding PLUS, unsubsidized, or other private loans)",Average percent of need met,Average non-need-based scholarship or grant award (freshmen),Average non-need-based athletic scholarship or grant award (freshmen),Student-faculty ratio,International full-time,International part-time,Ph.D or terminal degree,Minority full-time,Minority part-time,Full-time faculty,Part-time faculty,Full-time faculty male,Full-time faculty female,Part-time faculty male,Part-time faculty female,Number of majors,Freshmen_retention,International student retention,2017-2018 Employed Graduates Full-time,,Total undergraduate enrollment,Undergraduates who are first generation,Out-of-state students,International students,Registered clubs and organizations,Number of sports,,Peer_assessment,First_year_top_ten,Social Mobility rank
Dillard University,176,https://www.usnews.com/best-colleges/dillard-university-2004,,,,"Private, Coed",1869,United Methodist,Semester,Urban,,"$45,800",41%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,176,51,,,63,,,,,,,,"$16,772",$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,72%,N/A,N/A,,N/A,35%,N/A,N/A,32,0,,2.6,12%,63
East-West University,177,https://www.usnews.com/best-colleges/east-west-chicago-university-21686,,,,"Private, Coed",1980,None,Quarter,N/A,,"$37,500",41%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,177,,,,215,,,,,,,,"$25,535",$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,41%,N/A,N/A,,N/A,54%,N/A,N/A,,0,,1.7,,215
Emmanuel College,178,https://www.usnews.com/best-colleges/emmanuel-college--massachusetts-2147,"$41,448","$15,444",2209,"Private, Coed",1919,Roman Catholic,Semester,Urban,"$137,300,000.00","$49,400",77%,13,13:01,58%,41.60%,58.40%,0%,25%,75%,,178,,,,121,,,,,,,,"$30,698",$880,$810,"$1,661","$27,657",93%,86%,35%,"$31,377",86%,"$27,657",86%,"$4,478",86%,"$3,360",76%,"$20,205",N/A,13:01,7%,0%,86%,18%,22%,94,105,38.30%,61.70%,39%,61%,41,78%,N/A,61%,,2089,21%,40%,1.50%,69,3,,2.4,16%,121
Fisk University,179,https://www.usnews.com/best-colleges/fisk-3490,"$21,480","$10,790",780,"Private, Coed",1866,None,Semester,Urban,,"$39,300",72%,11,11:01,N/A,70.70%,28.90%,0.40%,30%,70%,,179,35,,50,96,,,,,,,,"$28,362",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:01,0%,0%,78%,54%,87%,59,31,54.20%,45.80%,51.60%,48.40%,19,80%,N/A,N/A,,743,27%,N/A,5%,50,0,,2.8,19%,96
Fort Lewis College,180,https://www.usnews.com/best-colleges/fort-lewis-college-1353,,"$9,878",3320,"Public, Coed",1911,None,Semester,Rural,"$10,500,000.00","$44,900",91%,16,16:01,26%,44.30%,54.20%,1.50%,48%,52%,,180,,,,179,,,,,,,,"$17,705",N/A,N/A,N/A,"$5,204",77%,62%,17%,"$17,702",62%,"$5,204",62%,"$3,238",38%,"$3,081",91%,"$5,286","$5,685",16:01,0%,0%,90%,10%,11%,170,71,49.40%,50.60%,54.90%,45.10%,45,63%,N/A,N/A,,3270,31%,55%,0.50%,70,9,,2.6,11%,179
Gordon College,181,https://www.usnews.com/best-colleges/gordon-college-2153,"$38,650","$11,250",1955,"Private, Coed",1889,Other,Semester,Suburban,"$56,800,000.00","$44,600",75%,11,11:01,57%,61.90%,35.10%,3%,37%,63%,,181,,,,58,,,,,,,,"$28,240",$922,$461,"$1,153","$24,678",87%,72%,20%,"$28,353",72%,"$24,678",72%,"$4,432",60%,"$3,380",75%,"$18,764",N/A,11:01,0%,0%,84%,17%,6%,93,150,55.90%,44.10%,43.30%,56.70%,38,84%,91%,N/A,,1618,17%,67%,9.20%,120,4,,2.4,23%,58
Johnson C. Smith University,182,https://www.usnews.com/best-colleges/johnson-c-smith-2936,"$18,236","$7,100",1565,"Private, Coed",1867,None,Semester,Urban,,"$42,100",46%,12,12:01,N/A,69.90%,30.10%,0%,39%,61%,,182,,,,138,,,,,,,,"$19,820","$1,700","$1,750","$3,350","$12,806",99%,97%,4%,"$16,062",96%,"$12,806",97%,"$3,898",89%,"$3,373",54%,"$14,809","$15,864",12:01,0%,0%,84%,69%,74%,87,77,46%,54%,31.20%,68.80%,22,68%,N/A,N/A,,1480,36%,N/A,1.20%,64,1,,2.3,,138
Judson College,183,https://www.usnews.com/best-colleges/judson-college-1023,,,,Private,N/A,None,N/A,N/A,,"$38,600",51%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,183,,,,72,,,,,,,,"$16,722",$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,65%,N/A,N/A,,N/A,41%,N/A,N/A,,0,,2.1,,72
The King_s College,184,https://www.usnews.com/best-colleges/kings-college-new-york-666134,"$37,690","$17,184",554,"Private, Coed",1938,Undenominational,Semester,Urban,,"$52,300",55%,15,15:01,46%,40.80%,56.30%,2.90%,34%,66%,,184,,,,20,,,,,,,,"$32,222",$800,"$2,438","$1,850","$22,608",86%,72%,18%,"$27,527",71%,"$22,608",72%,"$2,782",57%,"$2,782",69%,"$19,024",N/A,15:01,3%,0%,90%,10%,0%,29,25,75.90%,24.10%,68%,32%,8,74%,78%,N/A,,554,N/A,91%,3.60%,16,5,,2.5,,20
Lane College,185,https://www.usnews.com/best-colleges/lane-college-3499,"$11,500","$7,350",1232,"Private, Coed",1882,Christian Methodist Episcopal,Semester,City,,"$35,900",N/A,N,N/A,N/A,N/A,N/A,N/A,51%,49%,,185,,,,165,,,,,,,,"$12,560",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,55%,N/A,N/A,,1232,45%,N/A,0%,42,1,,2.1,,165
Louisiana State University--Alexandria,186,https://www.usnews.com/best-colleges/louisiana-state-university-alexandria-2011,,"$7,950",3247,"Public, Coed",1960,None,Semester,Rural,"$18,700,000.00","$34,100",73%,19,19:01,14%,55.30%,41.60%,3%,30%,70%,,186,,,,90,,,,,,,,"$8,975",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19:01,2%,0%,68%,23%,12%,84,73,45.20%,54.80%,32.90%,67.10%,18,58%,62%,N/A,,3247,45%,8%,2.30%,24,4,,2.1,9%,90
Lyon College,187,https://www.usnews.com/best-colleges/lyon-college-1088,"$29,140","$9,810",676,"Private, Coed",1872,Presbyterian Church (USA),Semester,City,,"$35,500",50%,10,10:01,46%,68.10%,31.90%,0%,56%,44%,,187,,,,50,,,,,,,,"$18,605","$1,500","$1,500","$1,500",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:01,0%,0%,94%,4%,0%,47,41,66%,34%,48.80%,51.20%,17,66%,72%,47%,,676,30%,36%,2.60%,32,2,,2.5,24%,50
Mansfield University of Pennsylvania,188,https://www.usnews.com/best-colleges/mansfield-university-of-pennsylvania-3324,,"$11,928",1637,"Public, Coed",1857,None,Semester,Rural,"$1,000,000.00","$42,800",92%,14,14:01,39%,52.80%,44.10%,3.10%,39%,61%,,188,,,,14,,,,,,,,"$21,004",N/A,N/A,N/A,"$1,332",82%,74%,N/A,"$1,501",N/A,"$1,332",74%,"$1,651",N/A,"$1,651",87%,"$1,311","$1,153",14:01,1%,2%,85%,9%,2%,94,45,47.90%,52.10%,42.20%,57.80%,26,73%,N/A,N/A,,1599,40%,N/A,0.50%,93,10,,2,8%,14
Marymount California University,189,https://www.usnews.com/best-colleges/marymount-california-university-666945,"$36,134","$14,666",761,"Private, Coed",1933,Roman Catholic,Semester,Suburban,,"$51,300",85%,17,17:01,23%,47%,51.90%,1.10%,51%,49%,,189,,,,42,,,,,,,,"$27,487","$1,828","$1,390","$1,366","$20,507",70%,70%,30%,"$32,244",70%,"$20,507",70%,"$3,171",46%,"$3,171",65%,"$9,409","$13,750",17:01,0%,0%,62%,24%,22%,34,27,52.90%,47.10%,51.90%,48.10%,8,59%,63%,N/A,,735,44%,11%,18.20%,18,0,,3,,42
Marymount Manhattan College,190,https://www.usnews.com/best-colleges/marymount-manhattan-2769,"$35,628","$17,976",2063,"Private, Coed",1936,None,Semester,Urban,"$21,000,000.00","$49,300",78%,10,10:01,38%,77.20%,22.80%,0%,22%,78%,,190,,,,200,,,,,,,,"$36,086","$1,000","$1,500","$5,000","$16,903",85%,73%,4%,"$19,713",73%,"$16,903",73%,"$3,483",53%,"$3,297",51%,"$9,920",N/A,10:01,N/A,N/A,N/A,10%,2%,92,281,32.60%,67.40%,45.20%,54.80%,27,73%,77%,N/A,,2063,23%,63%,4%,40,1,,2.5,,200
Oglethorpe University,191,https://www.usnews.com/best-colleges/oglethorpe-university-1586,"$39,580","$13,400",1264,"Private, Coed",1835,None,Semester,Suburban,"$33,900,000.00","$47,000",62%,15,15:01,40%,55.30%,44.70%,0%,43%,57%,,191,,,,25,,,,,,,,"$22,018","$1,200",$750,"$2,000","$30,486",92%,82%,17%,"$34,945",81%,"$30,486",82%,"$3,621",63%,"$3,379",79%,"$24,348",N/A,15:01,2%,0%,97%,15%,26%,65,50,55.40%,44.60%,50%,50%,34,76%,72%,25%,,1264,20%,21%,8%,62,1,,3,23%,25
Pine Manor College,192,https://www.usnews.com/best-colleges/pine-manor-college-2201,"$31,660","$13,830",408,"Private, Coed",1911,None,Semester,Urban,,"$46,100",77%,15,15:01,36%,84.40%,15.60%,0%,56%,44%,,192,,,,11,,,,,,,,"$20,749",$800,"$1,000","$1,000","$29,328",93%,89%,N/A,"$32,476",89%,"$29,328",89%,"$3,995",84%,"$3,197",82%,"$11,250",N/A,15:01,N/A,N/A,100%,24%,40%,21,43,19%,81%,58.10%,41.90%,9,54%,N/A,N/A,,373,43%,N/A,2%,,0,,1.9,,11
Providence Christian College,193,https://www.usnews.com/best-colleges/providence-christian-college-41539,,,,"Private, Coed",2003,None,Semester,City,"$22,000.00",,91%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,193,,,,185,,,,,,,,"$21,638",$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,66%,N/A,N/A,,N/A,30%,N/A,N/A,0,0,,1.9,,185
Purchase College--SUNY,194,https://www.usnews.com/best-colleges/suny-purchase-6791,,"$13,764",4264,"Public, Coed",1967,None,Semester,Suburban,"$76,500,000.00","$46,500",42%,14,14:01,54%,63.30%,32.40%,4.40%,42%,58%,,194,,,,50,,,,,,,,"$19,205","$1,240","$1,160","$2,120","$9,790",95%,73%,2%,"$10,027",73%,"$9,790",73%,"$3,651",64%,"$3,324",46%,"$2,712",N/A,14:01,3%,3%,49%,20%,19%,183,283,44.80%,55.20%,50.90%,49.10%,49,82%,N/A,N/A,,4164,24%,13%,2.60%,40,6,,2.6,,50
Rust College,195,https://www.usnews.com/best-colleges/rust-college-2433,"$9,900","$4,300",846,"Private, Coed",1866,United Methodist,Semester,Rural,,"$38,800",53%,19,19:01,17%,55.40%,44.60%,0%,41%,59%,,195,,,,158,,,,,,,,"$9,784",$250,$900,"$2,250",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19:01,N/A,N/A,0%,84%,75%,43,4,51.20%,48.80%,50%,50%,21,66%,N/A,N/A,,846,46%,59%,2.20%,32,0,,2.1,,158
Shepherd University,196,https://www.usnews.com/best-colleges/shepherd-university-3822,,"$10,776",3648,"Public, Coed",1871,None,Semester,Rural,"$20,700,000.00","$45,500",89%,15,15:01,30%,61.80%,36.90%,1.30%,44%,56%,,196,,,,158,,,,,,,,"$9,908","$1,000","$2,020","$1,000","$6,081",98%,68%,26%,"$13,316",67%,"$6,081",68%,"$3,390",38%,"$3,269",77%,"$10,719","$5,413",15:01,1%,1%,89%,11%,7%,136,199,52.20%,47.80%,46.70%,53.30%,42,65%,20%,9%,,3380,41%,33%,0.80%,89,1,,2.3,,158
Oglethorpe University,197,https://www.usnews.com/best-colleges/oglethorpe-university-1586,"$39,580","$13,400",1264,"Private, Coed",1835,None,Semester,Suburban,"$33,900,000.00","$47,000",62%,15,15:01,40%,55.30%,44.70%,0%,43%,57%,,197,,,,25,,,,,,,,"$22,018","$1,200",$750,"$2,000","$30,486",92%,82%,17%,"$34,945",81%,"$30,486",82%,"$3,621",63%,"$3,379",79%,"$24,348",N/A,15:01,2%,0%,97%,15%,26%,65,50,55.40%,44.60%,50%,50%,34,76%,72%,25%,,1264,20%,21%,8%,62,1,,3,23%,25
Pine Manor College,198,https://www.usnews.com/best-colleges/pine-manor-college-2201,"$31,660","$13,830",408,"Private, Coed",1911,None,Semester,Urban,,"$46,100",77%,15,15:01,36%,84.40%,15.60%,0%,56%,44%,,198,,,,11,,,,,,,,"$20,749",$800,"$1,000","$1,000","$29,328",93%,89%,N/A,"$32,476",89%,"$29,328",89%,"$3,995",84%,"$3,197",82%,"$11,250",N/A,15:01,N/A,N/A,100%,24%,40%,21,43,19%,81%,58.10%,41.90%,9,54%,N/A,N/A,,373,43%,N/A,2%,,0,,1.9,,11
Providence Christian College,199,https://www.usnews.com/best-colleges/providence-christian-college-41539,,,,"Private, Coed",2003,None,Semester,City,"$22,000.00",,91%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,199,,,,185,,,,,,,,"$21,638",$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,66%,N/A,N/A,,N/A,30%,N/A,N/A,0,0,,1.9,,185
Purchase College SUNY,200,https://www.usnews.com/best-colleges/suny-purchase-6791,,"$13,764",4264,"Public, Coed",1967,None,Semester,Suburban,"$76,500,000.00","$46,500",42%,14,14:01,54%,63.30%,32.40%,4.40%,42%,58%,,200,,,,50,,,,,,,,"$19,205","$1,240","$1,160","$2,120","$9,790",95%,73%,2%,"$10,027",73%,"$9,790",73%,"$3,651",64%,"$3,324",46%,"$2,712",N/A,14:01,3%,3%,49%,20%,19%,183,283,44.80%,55.20%,50.90%,49.10%,49,82%,N/A,N/A,,4164,24%,13%,2.60%,40,6,,2.6,,50
Rust College,201,https://www.usnews.com/best-colleges/rust-college-2433,"$9,900","$4,300",846,"Private, Coed",1866,United Methodist,Semester,Rural,,"$38,800",53%,19,19:01,17%,55.40%,44.60%,0%,41%,59%,,201,,,,158,,,,,,,,"$9,784",$250,$900,"$2,250",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19:01,N/A,N/A,0%,84%,75%,43,4,51.20%,48.80%,50%,50%,21,66%,N/A,N/A,,846,46%,59%,2.20%,32,0,,2.1,,158
Shepherd University,202,https://www.usnews.com/best-colleges/shepherd-university-3822,,"$10,776",3648,"Public, Coed",1871,None,Semester,Rural,"$20,700,000.00","$45,500",89%,15,15:01,30%,61.80%,36.90%,1.30%,44%,56%,,202,,,,158,,,,,,,,"$9,908","$1,000","$2,020","$1,000","$6,081",98%,68%,26%,"$13,316",67%,"$6,081",68%,"$3,390",38%,"$3,269",77%,"$10,719","$5,413",15:01,1%,1%,89%,11%,7%,136,199,52.20%,47.80%,46.70%,53.30%,42,65%,20%,9%,,3380,41%,33%,0.80%,89,1,,2.3,,158
Southern Virginia University,203,https://www.usnews.com/best-colleges/southern-virginia-university-666980,"$17,290","$8,040",,Private,N/A,None,N/A,N/A,,"$40,200",56%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,203,,,,204,,,,,,,,"$19,248",$600,"$1,100",$868,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,75%,N/A,N/A,,N/A,17%,N/A,N/A,,0,,2,,204
Spring Hills College,204,https://www.usnews.com/best-colleges/spring-hill-college-1041,"$40,648","$13,652",1395,"Private, Coed",1830,None,Semester,Suburban,"$19,800,000.00","$42,300",66%,13,13:01,50%,64.70%,34.90%,0.50%,38%,62%,,204,,,,185,,,,,,,,"$21,108","$1,500","$1,822","$1,440","$9,640",84%,80%,19%,"$37,431",80%,"$9,640",80%,"$3,892",62%,"$3,414",83%,"$21,716","$21,778",13:01,3%,0%,93%,7%,8%,88,49,52.30%,47.70%,44.90%,55.10%,34,77%,80%,N/A,,1270,25%,58%,4.70%,54,3,,2.3,19%,185
Stillman College,205,https://www.usnews.com/best-colleges/stillman-college-1044,"$11,292","$8,840",797,"Private, Coed",1876,Presbyterian Church (USA),Semester,City,,"$34,200",40%,13,13:01,N/A,N/A,N/A,N/A,43%,57%,,205,,,,138,,,,,,,,"$18,345",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:01,0%,0%,93%,63%,94%,40,18,50%,50%,44.40%,55.60%,28,64%,N/A,N/A,,797,41%,N/A,0%,21,2,,2.5,,138
Talladega College,206,https://www.usnews.com/best-colleges/talladega-college-1046,"$13,571","$6,704",1212,"Private, Coed",1867,United Church of Christ,Semester,Urban,"$2,600,000.00","$31,100",47%,22,22:01,14%,46.10%,42.10%,11.80%,51%,49%,,206,,,43,209,,,,,,,,"$15,281","$1,370",$900,"$3,200","$11,906",100%,91%,44%,"$20,683",91%,"$11,906",91%,"$1,865",7%,"$10,096",88%,"$3,349","$11,595",22:01,0%,0%,79%,57%,56%,42,32,47.60%,52.40%,34.40%,65.60%,25,63%,100%,3%,,1208,40%,N/A,4.30%,30,1,,2.2,,209
Tougaloo College,207,https://www.usnews.com/best-colleges/tougaloo-college-2439,"$10,854","$6,330",736,"Private, Coed",1869,United Church of Christ,Semester,Suburban,"$13,700,000.00","$33,900",91%,11,11:01,19%,74.60%,25%,0.40%,32%,68%,,207,60,,43,40,,,,,,,,"$11,623","$1,400","$1,900","$3,000","$2,600",97%,93%,30%,"$11,550",90%,"$2,600",93%,"$1,100",80%,"$3,500",75%,"$14,000","$2,530",11:01,N/A,N/A,70%,83%,93%,60,27,46.70%,53.30%,44.40%,55.60%,27,71%,100%,N/A,,726,30%,N/A,1.40%,38,0,,2.3,28%,40
University of Pikeville,208,https://www.usnews.com/best-colleges/university-of-pikeville-1980,"$21,550","$7,950",2318,"Private, Coed",1889,Presbyterian Church (USA),Semester,Rural,"$22,700,000.00","$38,000",100%,14,14:01,15%,62.80%,35.10%,2%,47%,53%,,208,,,,138,,,,,,,,"$18,374","$1,500",$800,"$2,080","$16,579",100%,100%,34%,"$22,745",100%,"$16,579",100%,"$4,526",78%,"$3,248",83%,N/A,N/A,14:01,0%,0%,63%,3%,4%,59,46,45.80%,54.20%,54.30%,45.70%,23,58%,75%,70%,,1499,45%,20%,3.40%,30,1,,2.1,13%,138
University of Science and Arts of Oklahoma,209,https://www.usnews.com/best-colleges/university-of-science-and-arts-3167,,"$6,150",,"Public, Coed",1908,None,Trimester,Rural,"$25,900,000.00","$35,600",48%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,209,,,,214,,,,,,,,"$7,149","$1,200","$2,204","$1,764","$11,541",86%,76%,16%,"$13,306",74%,"$11,541",76%,"$3,200",48%,"$2,706",68%,"$4,764","$9,352",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,75%,N/A,N/A,,N/A,43%,N/A,N/A,,0,,2.4,17%,214
University of South Carolina Beaufort,210,https://www.usnews.com/best-colleges/university-of-south-carolina-beaufort-3450,,,,"Public, Coed",1959,None,Semester,Suburban,,"$43,100",64%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,210,,,,108,,,,,,,,"$16,507",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,58%,N/A,N/A,,N/A,31%,N/A,N/A,38,0,,2.4,11%,108
University of the West,211,https://www.usnews.com/best-colleges/university-of-the-west-36963,,,,"Private, Coed",1991,None,Semester,Suburban,,,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,211,,,,185,,,,,,,,N/A,$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,69%,N/A,N/A,,N/A,N/A,N/A,N/A,,0,,2.1,,185
University of Virginia Wise,212,https://www.usnews.com/best-colleges/uva-wise-3747,,"$10,751",2065,Public,1954,None,Semester,Rural,"$97,100,000.00","$45,000",77%,11,11:01,27%,78.10%,21.40%,0.50%,38%,62%,,212,,,,18,,,,,,,,"$11,528","$1,600","$1,000","$1,410","$6,925",99%,87%,32%,"$15,362",87%,"$6,925",87%,"$3,073",41%,"$2,943",89%,"$7,459","$5,322",11:01,N/A,N/A,69%,13%,5%,107,92,57.90%,42.10%,40.20%,59.80%,26,68%,N/A,33%,,,,6%,0%,51,9,,2.5,17%,18
University of Wisconsin Superior,213,https://www.usnews.com/best-colleges/university-of-wisconsin-superior-3925,,"$7,280",2601,"Public, Coed",1893,None,Semester,City,"$17,200,000.00","$41,900",74%,16,16:01,18%,60.60%,37.50%,2%,38%,62%,,213,,,,165,,,,,,,,"$13,023",$970,"$1,280","$1,800","$5,283",82%,61%,17%,"$10,804",61%,"$5,283",61%,"$3,680",49%,"$2,649",82%,"$2,217",N/A,16:01,4%,0%,75%,11%,6%,114,108,45.60%,54.40%,34.30%,65.70%,44,69%,78%,N/A,,2294,30%,49%,10%,59,10,,2,8%,165
Virginia Union University,214,https://www.usnews.com/best-colleges/virginia-union-university-3766,"$17,448","$8,598",1561,"Private, Coed",1865,Baptist,Semester,Urban,"$33,800,000.00","$37,500",57%,16,16:01,20%,45.40%,53.60%,1%,47%,53%,,214,,,,42,,,,,,,,"$21,073","$2,000","$1,700","$1,906","$11,042",94%,91%,4%,"$14,427",90%,"$11,042",91%,"$3,833",85%,"$3,207",48%,"$7,750","$12,990",16:01,N/A,N/A,65%,72%,70%,75,63,38.70%,61.30%,54%,46%,47,61%,100%,N/A,,1186,41%,N/A,0.40%,45,0,,2.1,7%,42
Virginia Wesleyan University,215,https://www.usnews.com/best-colleges/virginia-wesleyan-3767,"$36,660","$9,988",1437,"Private, Coed",1961,United Methodist,04-01-04,Suburban,"$58,700,000.00","$43,600",70%,12,12:01,47%,84.60%,15.10%,0.30%,41%,59%,,215,,,,50,,,,,,,,"$24,524","$1,500","$1,600","$1,500","$23,917",89%,89%,11%,"$26,062",89%,"$23,917",89%,"$4,815",70%,"$5,404",65%,"$19,661",N/A,12:01,1%,0%,93%,10%,11%,91,44,52.70%,47.30%,50%,50%,39,63%,100%,N/A,,1351,31%,24%,0.90%,70,1,,2.5,10%,50
Williams Baptist University,216,https://www.usnews.com/best-colleges/williams-baptist-university-1106,"$18,058","$8,026",497,"Private, Coed",1941,Southern Baptist,Semester,Rural,"$15,700,000.00","$34,600",56%,13,13:01,30%,64%,36%,0%,56%,44%,,216,,,,45,,,,,,,,"$15,645","$1,250","$1,460","$1,650","$2,197",94%,85%,50%,"$5,036",85%,"$2,197",85%,$867,58%,"$1,169",26%,"$2,800","$3,833",13:01,0%,0%,48%,0%,0%,31,23,61.30%,38.70%,30.40%,69.60%,24,58%,60%,N/A,,480,32%,N/A,7.20%,30,1,,1.8,11%,45
